family	resource_id	resource_role	original_authors	original_publication	original_doi	original_url	original_resource_name	prepared_representation	preparation_notes	provenance_notes
W1-W4	albareda-arrival-times	AUTHOR_GENERATED_DATA	Authors of the Online Order Batching experiments (InstancesOBP authors)	Gil-Borrás et al. (2021); Gil-Borrás et al. (2024)	10.1016/j.cie.2021.107517; 10.1080/00207543.2023.2263884	unknown	ArrivalTimes/*.txt	TiemposOrders_E_100_H1.txt; TiemposOrders_E_100_H2.txt; TiemposOrders_E_100_H3.txt; TiemposOrders_E_100_H4.txt; TiemposOrders_E_150_H1.txt (and other files)	Supplemental data generated later by the authors of the Online Order Batching experiments and preserved alongside the original Albareda/Henn instances; the family README cites the related experimental context.	
W1-W4	albareda-base	BENCHMARK_DATA	Albareda-Sambola, M.; Alonso-Ayuso, A.; Molina, E.; De Blas, C.S.	Variable neighborhood search for order batching in a warehouse (2009)	10.1142/S0217595909002390	https://grafo.etsii.urjc.es/optsicom/obp.html	obp_instances.zip; extracted W1-W4 files	wsrp_input_layout_01_000.txt; wsrp_input_layout_01_030.txt; wsrp_input_layout_01_060.txt; wsrp_input_layout_01_090.txt; wsrp_input_pedido_01_000.txt (and other files)	README documents the historical source archives and provenance. Prepared representation contains W1-W4 layout and order TXT files.	
W1-W4	albareda-base-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W6A	arbex-layouts	BENCHMARK_DATA	Arbex (full name unknown in included family metadata)	unknown	unknown	https://homepages.dcc.ufmg.br/~arbex/orderpicking.html	W6A files, as named in family README	warehouse_16_0_3_1560; warehouse_16_1_3_1560; warehouse_8_0_3_1560; warehouse_8_1_3_1560	Prepared legacy W6A input files; see family README.	
W6A	arbex-orders	BENCHMARK_DATA	Arbex (full name unknown in included family metadata)	unknown	unknown	https://homepages.dcc.ufmg.br/~arbex/orderpicking.html	W6A files, as named in family README	instances_ord1000_fsd10; instances_ord100_fsd10; instances_ord2000_fsd10; instances_ord200_fsd10; instances_ord5000_fsd10 (and other files)	Prepared legacy W6A input files; see family README.	
W6A	arbex-orders-provenance	PROVENANCE_METADATA	Arbex (full name unknown in included family metadata)	unknown	unknown	https://homepages.dcc.ufmg.br/~arbex/orderpicking.html	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W6A	arbex-products-list	AUXILIARY_DATA	Arbex (full name unknown in included family metadata)	unknown	unknown	https://homepages.dcc.ufmg.br/~arbex/orderpicking.html	productsDB_1560_list	productsDB_1560_list	Retained as auxiliary information associated with the W6A collection.	
W6A	arbex-products-locations	BENCHMARK_DATA	Arbex (full name unknown in included family metadata)	unknown	unknown	https://homepages.dcc.ufmg.br/~arbex/orderpicking.html	productsDB_1560_locations	productsDB_1560_locations	Product-to-location assignments preserved as part of the W6A collection.	
W9	basr-w9	BENCHMARK_DATA	Cao, Z.; Zhou, L.; Lin, C.; Zhou, M.	Solving an order batching, picker assignment, batch sequencing and picker routing problem via information integration (2023)	10.1016/j.jii.2022.100414	https://github.com/Julie-buct/Instances-of-BASR	Instance of BASR.zip	orderlineList_2_1_2_1.txt; orderlineList_2_1_2_10.txt; orderlineList_2_1_2_11.txt; orderlineList_2_1_2_12.txt; orderlineList_2_1_2_13.txt (and other files)	Family README records upstream commit/archive details. Prepared legacy TXT files are preserved.	
W9	basr-w9-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W7	feng-w7	BENCHMARK_DATA	Feng, X.; Hu, X.	A Heuristic Solution Approach to Order Batching and Sequencing for Manual Picking and Packing Lines considering Fatiguing Effect (2021)	10.1155/2021/8863391	https://github.com/Xchunf/order-instances	unknown	orderset_new_100-20.xlsx; orderset_new_1000.xlsx; orderset_new_1200.xlsx; orderset_new_150-30.xlsx; orderset_new_1500.xlsx (and other files)	Prepared content described by family README.	
W7	feng-w7-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W6B	foodmart-w6b	BENCHMARK_DATA	unknown (FoodMart dataset source)	unknown	unknown	https://github.com/julianhyde/foodmart-data-mysql	foodmart-data-mysql-0.10 data.sql	sales_fact_1997_April.txt; sales_fact_1998_April.txt; sales_fact_1997_August.txt; sales_fact_1998_August.txt; sales_fact_1997_December.txt (and other files)	Prepared tabular representation derived from FoodMart data.sql and preserved by this archive. Source tag foodmart-data-mysql-0.10; commit 22d7853a3e08570b01a7aa3b6ef0e38277ca6aff. Includes 23 months; December 1998 has zero corresponding sales rows.	
W6B	foodmart-w6b-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W5A	henn-w5a	BENCHMARK_DATA	Henn, S.; Wäscher, G.	Tabu search heuristics for the order batching problem in manual order picking systems (2012)	10.1016/j.ejor.2012.05.049	https://grafo.etsii.urjc.es/optsicom/obp.html	obp_instances.zip; mmobp_instances.zip (family README records both shared sources)	29s-40-30-0.txt; 30s-40-45-0.txt; 31s-40-60-0.txt; 32s-40-75-0.txt; 37s-60-30-0.txt (and other files)	The family README describes prepared legacy content; upstream-specific attribution details remain undocumented in the included records.	
W5A	henn-w5a-arrival-times	AUTHOR_GENERATED_DATA	Authors of the Online Order Batching experiments (InstancesOBP authors)	Gil-Borrás et al. (2021); Gil-Borrás et al. (2024)	10.1016/j.cie.2021.107517; 10.1080/00207543.2023.2263884	unknown	ArrivalTimes/*.txt	TiemposOrders_E_100_H1.txt; TiemposOrders_E_100_H2.txt; TiemposOrders_E_100_H3.txt; TiemposOrders_E_100_H4.txt; TiemposOrders_E_40_H1.txt (and other files)	Supplemental data generated later by the authors of the Online Order Batching experiments and preserved alongside the original Albareda/Henn instances; the family README cites the related experimental context.	
W5A	henn-w5a-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W5B	henn-w5b	BENCHMARK_DATA	Henn, S.; Wäscher, G.	Tabu search heuristics for the order batching problem in manual order picking systems (2012)	10.1016/j.ejor.2012.05.049	https://grafo.etsii.urjc.es/optsicom/obp.html	obp_instances_ilst.zip	21s-20-30-0.txt; 21s-20-30-1.txt; 21s-20-30-2.txt; 21s-20-30-3.txt; 21s-20-30-4.txt (and other files)	The family README describes prepared legacy content; upstream-specific attribution details remain undocumented in the included records.	
W5B	henn-w5b-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W5C	henn-w5c	BENCHMARK_DATA	Henn, S.; Wäscher, G.	Tabu search heuristics for the order batching problem in manual order picking systems (2012)	10.1016/j.ejor.2012.05.049	https://www.mansci.ovgu.de/Forschungsmaterialien/Materialien/2012+_+II_-p-392.html	instances_results_obp.zip; mutable Dropbox distribution URL documented historically in family README	53l-100-30-0.txt; 53l-100-30-1.txt; 53l-100-30-10.txt; 53l-100-30-11.txt; 53l-100-30-12.txt (and other files)	The family README describes prepared legacy content; upstream-specific attribution details remain undocumented in the included records.	
W5C	henn-w5c-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W5D	henn-w5d	BENCHMARK_DATA	Authorship of the specific 96 W5D instances is unknown in local records; Menéndez et al. (2017) is the associated OBSP publication.	General Variable Neighborhood Search for the Order Batching and Sequencing Problem (2017), associated with the OBSP collection	10.1016/j.ejor.2017.05.001	https://grafo.etsii.urjc.es/optsicom/obsp.html	obsp_instances.zip	10l-40-75-0.txt; 11l-40-75-0.txt; 12l-40-75-0.txt; 13l-60-45-0.txt; 14l-60-45-0.txt (and other files)	The source archive is OBSP. The preserved W5D files use Henn-style setting/order structure and routing notation; instance-level authorship is recorded as unknown in local documentation.	
W5D	henn-w5d-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
W8	jiang-w8	BENCHMARK_DATA	Jiang, X.; Sun, L.; Zhang, Y.; Hu, X.	Order batching and sequencing for minimising the total order completion time in pick-and-sort warehouses (2022)	10.1016/j.eswa.2021.115943	https://github.com/jixiangwu1993/OBSPPS	OBSPPS_instances.zip	Instance 1.txt; Instance 10.txt; Instance 2.txt; Instance 3.txt; Instance 4.txt (and other files)	Family README records upstream commit/archive details and 200 instances. Prepared legacy TXT files are preserved.	
W8	jiang-w8-provenance	PROVENANCE_METADATA	unknown	unknown	unknown	unknown	family README and included metadata	Family-level documentation and metadata	Records provenance and attribution where documented; see the family README.	
